INDICADOR DA SOJA ESALQ/BM&FBOVESPA - PARANAGUÁ,,
,,
Fonte: Cepea,,
Data,À vista R$,À vista US$
13/03/2006,"27,66","12,96"
14/03/2006,"27,45","12,91"
15/03/2006,"27,58",13
16/03/2006,"26,97","12,78"
17/03/2006,"26,96","12,68"
20/03/2006,"27,36","12,73"
21/03/2006,"27,55","12,67"
22/03/2006,"27,84","12,94"
23/03/2006,"27,82","12,87"
24/03/2006,"27,91","12,96"
27/03/2006,"28,48","13,12"
28/03/2006,"28,7","12,99"
29/03/2006,"28,69","12,96"
30/03/2006,"28,33","12,94"
31/03/2006,"27,54","12,72"
03/04/2006,"26,96","12,61"
04/04/2006,"26,57","12,45"
05/04/2006,"26,6","12,46"
06/04/2006,"26,79","12,58"
07/04/2006,"26,76","12,45"
10/04/2006,"26,74","12,4"
11/04/2006,"26,8","12,52"
12/04/2006,"26,74","12,54"
13/04/2006,"26,82","12,54"
17/04/2006,"27,28","12,77"
18/04/2006,"27,26","12,88"
19/04/2006,"27,1","12,82"
20/04/2006,"27,04","12,75"
24/04/2006,"27,33","12,93"
25/04/2006,"27,44","12,9"
26/04/2006,"27,32","12,9"
27/04/2006,"27,15","12,9"
28/04/2006,"27,67","13,26"
02/05/2006,"27,59","13,39"
03/05/2006,"27,58","13,29"
04/05/2006,"27,82","13,43"
05/05/2006,"27,76","13,51"
08/05/2006,"27,28","13,18"
09/05/2006,"27,86","13,52"
10/05/2006,"28,13","13,65"
11/05/2006,"28,36","13,5"
12/05/2006,"28,88","13,47"
15/05/2006,"28,83","13,19"
16/05/2006,"28,3","13,25"
17/05/2006,"29,03","13,17"
18/05/2006,"29,05","13,36"
19/05/2006,"28,61","12,96"
22/05/2006,"29,4","12,84"
23/05/2006,"29,23","12,75"
24/05/2006,"30,26","12,61"
25/05/2006,"29,63","12,91"
26/05/2006,"29,04","12,96"
29/05/2006,"28,74","12,63"
30/05/2006,"30,14","13,05"
31/05/2006,"29,5","12,7"
01/06/2006,"29,28",13
02/06/2006,"29,97","13,16"
05/06/2006,"30,02","13,34"
06/06/2006,"29,84","13,22"
09/06/2006,"29,3","12,96"
12/06/2006,30,"13,1"
13/06/2006,"30,26","13,14"
14/06/2006,"29,88","13,1"
16/06/2006,"29,84","13,29"
19/06/2006,"28,94","12,84"
20/06/2006,"29,18","12,99"
21/06/2006,"29,19","13,08"
22/06/2006,"29,25","13,04"
23/06/2006,"29,19","13,09"
26/06/2006,"28,55","12,8"
27/06/2006,"28,76","12,85"
28/06/2006,"29,16","13,14"
29/06/2006,"29,04","13,37"
30/06/2006,"29,17","13,47"
03/07/2006,"29,39","13,48"
04/07/2006,"29,57","13,63"
05/07/2006,"29,46","13,39"
06/07/2006,"29,9","13,75"
07/07/2006,"29,49","13,52"
10/07/2006,"29,54","13,55"
11/07/2006,"30,08","13,77"
12/07/2006,"29,74","13,52"
13/07/2006,"29,76","13,4"
14/07/2006,"29,9","13,51"
17/07/2006,"29,42","13,34"
18/07/2006,"29,51","13,46"
19/07/2006,"29,35","13,48"
20/07/2006,"29,38","13,39"
21/07/2006,"29,35","13,35"
24/07/2006,"29,37","13,4"
25/07/2006,"29,95","13,6"
26/07/2006,"30,14","13,76"
27/07/2006,"29,5","13,46"
28/07/2006,"29,49","13,57"
31/07/2006,"29,3","13,47"
01/08/2006,"29,27","13,36"
02/08/2006,"29,83","13,68"
03/08/2006,"29,56","13,58"
04/08/2006,"29,76","13,63"
07/08/2006,"29,15","13,34"
08/08/2006,"29,14","13,38"
09/08/2006,"29,01","13,38"
10/08/2006,"29,05","13,45"
